open_time,id,symbol,interval_time,open_price,high_price,low_price,close_price,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,daily_return,historical_volatility
2024-04-10 00:00:00+00:00,607,BTCUSDT,1d,69146.0,71172.08,67518.0,70631.08,42006.02377,2024-04-10 23:59:59.999000+00:00,2901564970.815804,1852170,20269.34809,1401023003.7318227,0.02147745350417951,0.5375908681823517
2024-04-11 00:00:00+00:00,608,BTCUSDT,1d,70631.08,71305.89,69567.21,70006.23,31917.25595,2024-04-11 23:59:59.999000+00:00,2247473274.6162577,1658995,15908.49124,1120249990.7357526,-0.008846672031632585,0.5157620890620139
2024-04-12 00:00:00+00:00,609,BTCUSDT,1d,70006.22,71227.46,65086.86,67116.52,56072.86229,2024-04-12 23:59:59.999000+00:00,3843551585.3212743,2496617,25935.86464,1777808491.1704543,-0.04127789769567636,0.5352604977163724
2024-04-13 00:00:00+00:00,610,BTCUSDT,1d,67116.52,67929.0,60660.57,63924.51,71395.22019,2024-04-13 23:59:59.999000+00:00,4614468627.809045,3341340,33221.6695,2144846149.6809175,-0.047559229828960214,0.5749355200068197
2024-04-14 00:00:00+00:00,611,BTCUSDT,1d,63924.52,65840.0,62134.0,65661.84,61599.17818,2024-04-14 23:59:59.999000+00:00,3946124834.6970353,2657953,29732.29634,1904847012.5093088,0.027177838359652595,0.5456004861457475
2024-04-15 00:00:00+00:00,612,BTCUSDT,1d,65661.85,66867.07,62274.4,63419.99,52389.53069,2024-04-15 23:59:59.999000+00:00,3398072231.561224,2539048,25206.68008,1634572976.939813,-0.034142357265650736,0.5324255212400107
2024-04-16 00:00:00+00:00,613,BTCUSDT,1d,63419.99,64365.0,61600.0,63793.39,53435.29331,2024-04-16 23:59:59.999000+00:00,3355338198.446913,2604354,26041.2664,1635683129.3076532,0.005887733504845949,0.5335923084744214
2024-04-17 00:00:00+00:00,614,BTCUSDT,1d,63793.4,64499.0,59678.16,61277.37,50610.54509,2024-04-17 23:59:59.999000+00:00,3128625247.473853,2458327,24346.74671,1506361259.7013583,-0.03944013635268473,0.553630984672734
2024-04-18 00:00:00+00:00,615,BTCUSDT,1d,61277.38,64117.09,60803.35,63470.08,43601.60918,2024-04-18 23:59:59.999000+00:00,2726741448.886802,2142511,20870.20705,1305027167.9395082,0.03578335689015377,0.5714545454434763
2024-04-19 00:00:00+00:00,616,BTCUSDT,1d,63470.09,65450.0,59600.01,63818.01,69774.30271,2024-04-19 23:59:59.999000+00:00,4419893235.183288,2828284,34941.50216,2214809735.240241,0.005481795516879773,0.5717370877855767
2024-04-20 00:00:00+00:00,617,BTCUSDT,1d,63818.01,65419.0,63090.07,64940.59,23137.42975,2024-04-20 23:59:59.999000+00:00,1486949581.439479,1376712,11811.8444,759077474.2972904,0.017590332258871744,0.5786898840793472
2024-04-21 00:00:00+00:00,618,BTCUSDT,1d,64940.58,65695.56,64237.5,64941.15,19316.42152,2024-04-21 23:59:59.999000+00:00,1254396628.1531765,1390153,9734.71767,632257865.0082499,8.623266280816111e-06,0.5665426019696487
2024-04-22 00:00:00+00:00,619,BTCUSDT,1d,64941.15,67232.35,64500.0,66819.32,31397.99371,2024-04-22 23:59:59.999000+00:00,2071690434.976552,1816591,16466.05497,1086399264.6092272,0.028921107802987844,0.5761280763955852
2024-04-23 00:00:00+00:00,620,BTCUSDT,1d,66819.32,67183.01,65765.81,66414.0,22599.90004,2024-04-23 23:59:59.999000+00:00,1502139968.7198815,1433915,10854.17402,721404825.847041,-0.0060659102786441155,0.5168865859239585
2024-04-24 00:00:00+00:00,621,BTCUSDT,1d,66414.0,67070.43,63606.06,64289.59,33595.69637,2024-04-24 23:59:59.999000+00:00,2195714861.657656,1784897,16899.50969,1104368114.1058698,-0.031987382178456425,0.5337785285674262
2024-04-25 00:00:00+00:00,622,BTCUSDT,1d,64289.58,65297.94,62794.0,64498.34,31341.46338,2024-04-25 23:59:59.999000+00:00,2007704069.2622728,1375324,14808.62959,948738136.2684381,0.003247026462604552,0.5061912605164652
2024-04-26 00:00:00+00:00,623,BTCUSDT,1d,64498.33,64820.01,63297.48,63770.01,27085.19346,2024-04-26 23:59:59.999000+00:00,1736631357.3537388,1025561,13570.23647,870093757.5188991,-0.0112922286061935,0.5066362878830675
2024-04-27 00:00:00+00:00,624,BTCUSDT,1d,63770.0,63923.41,62391.24,63461.98,20933.06052,2024-04-27 23:59:59.999000+00:00,1320337707.787116,912422,9903.95325,624733409.211288,-0.004830326982856015,0.5001896255207635
2024-04-28 00:00:00+00:00,625,BTCUSDT,1d,63461.98,64370.0,62781.0,63118.62,16949.20005,2024-04-28 23:59:59.999000+00:00,1078450016.4732296,790652,7941.33811,505261267.5695052,-0.0054104835682718955,0.49817719767463003
2024-04-29 00:00:00+00:00,626,BTCUSDT,1d,63118.62,64228.35,61765.53,63866.0,28150.22947,2024-04-29 23:59:59.999000+00:00,1765038324.6837213,1152296,13986.59437,877053322.307997,0.01184087991784355,0.47733857958294956
2024-04-30 00:00:00+00:00,627,BTCUSDT,1d,63866.0,64734.0,59191.6,60672.0,54947.65535,2024-04-30 23:59:59.999000+00:00,3372142467.4322524,1985671,26385.41614,1620421850.578699,-0.05001096044843889,0.49860755523979605
2024-05-01 00:00:00+00:00,628,BTCUSDT,1d,60672.01,60841.63,56552.82,58364.97,81166.46823,2024-05-01 23:59:59.999000+00:00,4705572361.7402,2401089,38203.57377,2213404278.5900106,-0.03802462420886077,0.5007339129135608
2024-05-02 00:00:00+00:00,629,BTCUSDT,1d,58364.97,59625.0,56911.84,59060.61,47583.81961,2024-05-02 23:59:59.999000+00:00,2778840305.0505786,1572898,23240.7537,1356148775.8867364,0.011918793070569533,0.50806203775912
